Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,#N/A,11.597824,12.68993884,12.67838566,13.44621363,14.46316442,16.62545428,19.1117738,20.22625444,21.60373432,21.46063483,23.87780076,27.74199205,26.10587749,25.25842596,27.22296859,31.71611916,36.05524463,38.81786757,41.98816039,45.56321842,31.51768314,38.65798997,45.04300076,45.40989675,45.6598271,47.51771763,40.86973236,38.88531419,42.06318504,#N/A,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,0.009168917,0.008145113,0.011952144,0.011512753,0.009858317,0.010626405,0.011004948,0.00800967,0.007440687,0.005687514,0.006549739,0.010660918,0.01107324,0.010983672,0.013108667,0.011420054,0.008053182,0.008981564,0.010393677,0.011417798,0.004851001,0.002070123,0.009685368,0.008845125,0.019699094,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,0.009168917,0.008145113,0.011952144,0.011512753,0.009858317,0.010626405,0.011004948,0.00800967,0.007440687,0.005687514,0.006549739,0.010660918,0.01107324,0.010983672,0.013108667,0.011420054,0.008053182,0.008981564,0.010393677,0.011417798,0.004851001,0.002070123,0.009685368,0.008845125,0.019699094,#N/A,#N/A,#N/A
Chile,#N/A,#N/A,0.852202394,0.896006246,0.99132887,0.930825626,1.13686784,1.59011369,1.54068224,1.667818906,1.484161843,1.561917906,1.821450376,1.874541451,1.742308818,2.165090565,3.302540698,4.197298844,6.059632759,6.856042927,6.450760139,5.545896001,7.110610585,8.143758933,7.806299476,7.676972941,7.508349695,6.203306041,6.071752824,6.88584016,#N/A,#N/A,#N/A
China,#N/A,#N/A,#N/A,#N/A,8.494001357,9.17439447,12.10062602,14.87794995,15.10474547,18.27915858,18.3808983,19.49307785,24.9202551,26.60982086,32.55959698,43.82277674,59.33255814,76.19534095,96.8935601,122.0059668,143.0693066,120.1646758,157.7763751,189.8388435,204.8782233,220.900728,234.2292696,227.3468224,209.7637172,226.3370504,#N/A,#N/A,#N/A
Colombia,#N/A,#N/A,#N/A,0.726863462,0.691604275,0.712343859,0.853751654,1.020104806,1.064755507,1.154901914,1.08212224,1.161703014,1.315840085,1.230148649,1.189748838,1.309221807,1.672967771,2.119043874,2.43909751,2.9991332,3.762588207,3.285298584,3.981952864,5.695351609,6.027361817,5.882186999,5.479481202,3.569076659,3.104499124,3.776632106,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.222043725,0.270175462,0.277978982,0.389294797,0.51512791,0.628307611,0.548687837,0.471578949,0.495040024,0.580040356,0.595258212,0.715068831,0.725486562,0.892761867,0.974453849,0.883634468,0.904484068,1.022224103,1.125080389,1.147206352,1.124266105,0.957833778,0.990787382,1.129664043,#N/A,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,0.459748403,0.390380826,0.426036378,0.463265587,0.451172915,0.434085632,0.454110362,0.427969043,0.443159735,0.466590821,0.490358449,0.61866302,0.802415675,0.877255265,1.037696437,1.236022156,1.412367479,1.04918355,1.181067624,1.336402244,1.236898341,1.274161849,1.384389984,1.284352932,1.364753406,1.573248522,#N/A,#N/A,#N/A
Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.149583338,0.167606181,0.166482851,0.142166632,0.167691302,0.233210125,0.231859223,0.298015174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,#N/A,0.079303782,0.094922061,0.095180454,0.10051673,0.086729613,0.096121907,0.123054426,0.139061338,0.125010778,0.10618512,0.09970055,0.098055464,0.099716097,0.083700702,0.092313506,0.117148386,0.154637342,0.14148658,0.148641228,0.171331536,0.135094881,0.150645795,0.195477038,0.182601736,0.213440545,0.327025759,0.336701957,0.299720889,0.336037737,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,1.289219891,1.408144384,2.168556544,2.190732083,2.274634342,2.830576845,2.684260154,2.905286679,3.338421037,4.426357582,4.872035033,6.57715869,7.820854753,9.514098634,12.09004922,14.60870287,11.28843213,13.21409138,16.23917212,15.64227426,16.15241521,17.42794517,15.71941226,16.20873322,18.22313605,#N/A,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,1.289219891,1.408144384,2.168556544,2.190732083,2.274634342,2.830576845,2.684260154,2.905286679,3.338421037,4.426357582,4.872035033,6.57715869,7.820854753,9.514098634,12.09004922,14.60870287,11.28843213,13.21409138,16.23917212,15.64227426,16.15241521,17.42794517,15.71941226,16.20873322,18.22313605,#N/A,#N/A,#N/A
Denmark,#N/A,2.804619674,3.484279603,3.571305677,3.955311002,3.71709911,4.160236749,4.878912717,4.888454349,4.880043213,4.770999091,4.902780902,4.910228675,5.097384238,5.567356017,6.46142263,7.474055845,8.227814532,9.063872224,10.16161244,11.58762328,9.209068734,9.621673027,11.27133389,10.61040222,11.04695324,11.07489213,9.461881668,9.472901306,10.14344309,#N/A,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.036370884,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
