Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Central African Republic,0.067,0.066,0.07,0.068,0.072,0.077,0.093,0.091,0.092,0.092,0.093,0.092,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1384,0.1694,0.1694,0.1704,0.1514,#N/A,#N/A,#N/A
Chad,0.044,0.048,0.049,0.048,0.049,0.051,0.065,0.079,0.076,0.077,0.085,0.082,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.205,0.193,0.2121,0.2121,0.2143,0.2253,0.2293,#N/A,#N/A,#N/A
Chile,11.852,12.083,12.001,12.601,13.439,14.004,14.874,15.563,16.783,17.527,20.285,20.453,21.596,22.546,24.028,28.562,30.747,33.206,34.546,36.845,39.878,41.154,42.281,45.212,49.357,50.767,53.544,56.318,57.519,58.513,58.084,63.259,66.91,70.031,67.768,72.332,76.091,76.242,78.251,#N/A,#N/A
China,285.474,294.017,311.758,334.636,358.72,390.678,427.349,472.472,517.849,555.538,590.346,643.116,716.04,795.733,880.411,956.307,1005.499,1070.225,1103.697,1172.261,1280.613,1426.677,1584.671,1810.261,2103.526,2373.002,2716.712,3108.028,3297.471,3527.342,3984.02,4461.707,4735.544,5170.66,5387.911,5562.476,5883.763,6266.235,6712.1785,#N/A,#N/A
Colombia,19.663,19.968,25.872,26.729,29.312,29.642,32.984,30.637,32.998,34.377,35.651,36.374,32.771,37.584,40.864,42.702,43.709,44.92,44.712,43.159,42.177,42.461,44.073,45.594,48.778,49.347,52.736,54.196,54.958,55.854,58.034,59.918,61.105,72.142,69.345,75.946,74.772,73.355,#N/A,#N/A,#N/A
Costa Rica,2.142,2.337,2.442,2.886,3.035,2.804,2.926,3.05,3.109,3.315,3.429,3.825,4.57,4.854,5.154,4.779,4.749,5.575,5.256,6.118,6.848,6.878,7.419,7.286,7.963,8.157,8.585,8.93,9.36,9.212,9.473,9.705,10.053,10.094,10.087,10.725,10.792,11.219,#N/A,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.578,9.015,8.026,8.594,10.277,9.353,10.505,11.833,10.22,11.65,11.683,12.024,12.696,11.887,11.816,11.501,11.7,12.235,14.329,10.781,10.156,13.538,13.086,10.883,12.198,11.362,13.092,#N/A,#N/A
Cuba,10.259,10.806,11.37,11.861,12.558,12.469,13.488,13.881,14.873,15.53,14.493,12.413,12.168,11.215,11.472,11.886,12.676,13.461,13.359,13.838,14.192,14.441,14.82,14.912,14.749,14.4511,15.5101,16.6001,16.6691,16.7201,16.386,16.73,17.361,18.038,18.251,19.118,19.277,19.37,#N/A,#N/A,#N/A
Cyprus,0.968,0.993,1.071,1.148,1.175,1.24,1.338,1.421,1.568,1.734,1.857,1.952,2.26,2.426,2.52,2.325,2.437,2.548,2.777,2.951,3.168,3.338,3.558,3.809,3.948,4.114,4.373,4.579,4.775,4.856,5.006,4.644,4.449,4.054,4.102,4.284,4.618,4.73,4.778,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.529,55.386,57.482,60.163,61.166,61.38,60.394,68.61,69.93,71.663,78.062,78.983,76.969,78.597,82.557,78.305,76.937,80.447,81.845,81.774,81.145,80.327,77.902,77.387,81.023,81.877,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.529,55.386,57.482,60.163,61.166,61.38,60.394,68.61,69.93,71.663,78.062,78.983,76.969,78.597,82.557,78.305,76.937,80.447,81.845,81.774,81.145,80.327,77.902,77.387,81.023,81.877,#N/A,#N/A
Denmark,25.162,18.453,22.394,20.74,19.741,25.707,28.79,27.577,25.785,21.247,24.488,34.418,28.98,32.039,37.903,34.589,50.509,41.852,38.894,36.856,34.221,35.837,37.362,43.921,38.61,34.709,43.476,37.623,35.076,34.851,37.321,34.013,29.793,33.659,31.377,28.38,29.852,30.537,29.479,#N/A,#N/A
Djibouti,0.11,0.115,0.123,0.139,0.137,0.154,0.16,0.161,0.164,0.165,0.168,0.169,0.169,0.171,0.171,0.173,0.174,0.176,0.176,0.176,0.18,0.179,0.188,0.188,0.202,0.24,0.263,0.304,0.319,0.328,0.356,0.364,0.3675,0.3785,0.3785,0.3785,0.3785,0.3805,#N/A,#N/A,#N/A
Dominican Republic,3.211,3.647,3.28,3.483,4.134,4.267,4.654,4.526,4.295,3.286,3.497,3.69,3.958,5.189,4.806,5.181,6.263,6.838,7.27,8.564,8.067,9.733,11.816,12.543,11.188,11.98,13.06,13.65,11.676,11.558,13.943,14.882,15.751,16.727,16.282,16.917,17.671,18.045,#N/A,#N/A,#N/A
East Timor,3.211,3.647,3.28,3.483,4.134,4.267,4.654,4.526,4.295,3.286,3.497,3.69,3.958,5.189,4.806,5.181,6.263,6.838,7.27,8.564,8.067,9.733,11.816,12.543,11.188,11.98,13.06,13.65,11.676,11.558,13.943,14.882,15.751,16.727,16.282,16.917,17.671,18.045,#N/A,#N/A,#N/A
Ecuador,3.186,3.535,3.904,4.117,4.113,4.706,5.197,5.257,5.504,5.636,6.215,6.807,7.001,7.25,8.008,8.181,9.097,9.389,9.883,10.048,10.356,10.74,11.551,11.212,13.09,12.162,14.128,16.585,18.265,17.929,18.785,19.885,22.106,22.442,23.451,24.969,26.504,28.604,#N/A,#N/A,#N/A
Egypt,18.256,20.498,19.939,22.487,29.316,32.3,33.484,36.744,35.401,37.695,41.408,42.56,43.496,47.752,50.07,52.691,51.765,55.532,59.809,65.174,74.461,79.366,84.813,90.47,96.21,103.1602,109.4992,118.7872,124.3132,131.6812,139.059,149.024,155.807,159.135,165.492,176.272,176.262,182.343,#N/A,#N/A,#N/A
El Salvador,1.637,1.669,1.756,1.61,1.811,1.76,1.731,1.922,2.005,2.061,2.025,1.926,2.026,2.408,2.833,3.263,3.334,3.526,3.712,3.689,3.7261,3.7901,3.9731,4.2651,4.3501,4.7131,5.5981,5.7241,5.8741,5.7451,5.7551,5.8391,5.9681,6.022,5.976,5.753,5.769,5.291,#N/A,#N/A,#N/A
Equatorial Guinea,0.017,0.015,0.014,0.012,0.015,0.017,0.016,0.017,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.019,0.019,0.02,0.021,0.021,0.083,0.053,0.107,0.12,0.163,0.27,0.329,0.391,0.457,0.514,0.576,0.65,0.891,1.402,1.611,1.641,1.779,1.725,#N/A,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.151,0.162,0.181,0.178,0.185,0.201,0.197,0.219,0.244,0.26,0.266,0.271,0.253,0.271,0.27,0.277,0.294,0.319,0.34,0.354,0.364,0.374,0.381,0.4,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11.121,8.571,8.602,8.172,8.557,8.666,8.011,7.773,8.001,7.985,8.091,9.61,9.689,9.599,9.156,11.467,9.958,8.2851,12.2491,12.1902,11.3383,12.556,11.79,9.878,11.554,12.255,#N/A,#N/A,#N/A
Ethiopia,0.651,0.68,0.746,0.787,0.837,0.892,0.949,1.1,1.172,1.218,1.199,1.211,1.221,1.435,1.433,1.453,1.536,1.595,1.634,1.627,1.701,2.035,2.068,2.32,2.562,2.869,3.29,3.547,3.7651,3.9794,4.9894,6.3178,7.5571,8.6611,9.4731,10.3891,12.4681,13.7411,#N/A,#N/A,#N/A
Falkland Islands,0.002,0.003,0.003,0.003,0.006,0.008,0.009,0.009,0.011,0.01,0.01,0.01,0.01,0.01,0.01,0.011,0.011,0.011,0.012,0.012,0.014,0.015,0.015,0.015,0.015,0.015,0.016,0.016,0.018,0.018,0.016,0.016,0.017,0.017,0.017,0.018,0.017,0.017,#N/A,#N/A,#N/A
Fiji,0.29,0.297,0.303,0.311,0.379,0.387,0.412,0.423,0.414,0.426,0.478,0.483,0.481,0.491,0.529,0.553,0.554,0.56,0.556,0.6,0.631,0.674,0.711,0.723,0.753,0.7871,0.8481,0.8591,0.8741,0.8611,0.8983,0.8691,0.861,0.892,0.911,0.93,0.953,1.021,#N/A,#N/A,#N/A
Finland,38.71,39.115,39.355,40.347,43.226,47.316,46.916,50.847,43.97,51.187,57.005,60.36,55.507,58.645,62.865,61.299,66.368,65.528,67.473,66.683,67.075,71.237,71.535,80.304,82.063,67.865,78.842,77.963,74.442,69.206,77.334,70.65,67.909,68.63,65.675,66.408,66.546,65.408,67.841,#N/A,#N/A
France,250.498,261.858,264.508,279.984,306.101,324.265,341.513,355.869,370.643,384.475,396.252,428.584,438.036,447.433,453.011,467.891,483.499,476.815,482.467,494.583,509.729,519.51,526.185,533.651,540.645,544.677,542.979,538.435,544.232,507.643,540.09,536.862,537.727,550.853,543.086,550.67,536.932,534.116,550.397,#N/A,#N/A
