Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Area
Syria,8930780,9252850,9590230,9938850,10293000,10648600,11004300,11360800,11719100,12080400,12446200,12815400,13187700,13565100,13950500,14345500,14754200,15175300,15599600,16014000,16410800,16766600,17084600,17415200,17827800,18361200,19059300,19878300,20664000,21205900,21362500,21081800,20438900,19578500,18710700,17997400,17465600,17095700,16945100,17070135,17500658,185180
Taiwan,17682930,18048120,18395100,18687480,18964700,19222070,19435850,19644050,19868400,20080750,20309530,20529120,20728800,20923100,21109450,21290100,21462400,21661300,21858950,22030950,22207570,22357220,22477600,22573400,22657580,22739680,22836880,22928880,23010000,23090000,23146250,23201380,23281880,23352250,23411500,23470250,23522000,23559380,23582250,23773876,23816775,36193
Tajikistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5502490,5593320,5679170,5764810,5851350,5938400,6027400,6119660,6216330,6318510,6426860,6541550,6662390,6789320,6922590,7062670,7209920,7364750,7527400,7697510,7874840,8059780,8252830,8454020,8663580,8880270,37204500,9321018,9537645,143100
Thailand,47494650,48449730,49385500,50308400,51224730,52144400,53087400,54044800,54981020,55859880,56644150,57307400,57877200,58406100,58947650,59551620,60234500,60961520,61694050,62392950,63024500,63587950,64105750,64586480,65038450,65467400,65866590,66233100,66576770,66908120,67236340,67562850,67881300,68187450,68476980,68746700,68998650,69234730,37204500,69625582,69799978,513120
The Bahamas,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359578,363584,367169,370633,374206,377930,381755,385585,389482,393244,13943
Togo,2720830,2827270,2933700,3040130,3146560,3253000,3357260,3461520,3565780,3670050,3774310,3864710,3955100,4045500,4135900,4226290,4365920,4505540,4645160,4784780,4924410,5061850,5199300,5336750,5474200,5611640,5773650,5935650,6097660,6259670,6421670,6601970,6782270,6962570,7142860,7323160,7514280,7705390,7896510,8082366,8278724,56785
Trinidad and Tobago,1084740,1101980,1120020,1138070,1155080,1170300,1183380,1194530,1204150,1212860,1221120,1229110,1236690,1243600,1249530,1254200,1257550,1259840,1261700,1263930,1267160,1271630,1277210,1283560,1290110,1296500,1302550,1308450,1314450,1320920,1328140,1336180,1344810,1353710,1362340,1370330,1377560,1384060,1389200,1394973,1399488,5130
Tunisia,6374040,6551230,6740520,6937330,7135270,7329590,7517850,7700730,7880330,8060210,8242510,8427850,8613860,8795930,8967920,9125400,9267330,9395120,9509860,9613590,9708350,9793920,9871260,9945280,10022300,10106800,10201200,10304700,10414400,10525700,10635200,10741900,10847000,10953000,11063200,11180000,11303900,11433400,37205500,11694719,11818619,163610
Turkey,44101730,45114120,46155600,47206380,48246120,49257350,50240150,51206000,52158730,53102000,54037670,54959700,55867600,56771070,57680100,58604000,59545650,60498570,61455980,62410950,63358200,64300420,65240880,66176150,67103160,68013080,68878570,69708620,70551000,71454750,72467580,73614250,74860520,76154120,77440750,78684500,79932500,81203250,37205500,83429615,84339067,783562
Turkmenistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3899840,4010790,4115100,4207840,4287340,4355120,4413480,4466130,4516130,4564090,4610020,4655750,4703400,4754650,4810110,4870140,4935770,5007950,5087210,5174080,5267910,5366380,5466320,5565280,5662370,5757670,5848840,5942089,6031200,488100
Uganda,12442300,12825100,13222000,13638700,14082900,14559400,15070300,15612800,16180100,16763000,17354400,17953500,18561700,19176000,19793500,20413200,21032800,21655400,22290800,22952400,23650200,24389000,25167300,25980600,26821300,27684600,28571500,29486300,30431700,31411100,32428200,33476800,34558700,35694500,36911500,38225400,39649200,41166600,42691400,44269594,45741007,241550
Ukraine,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51708200,51870400,51715400,51300400,50874100,50400000,49973500,49544800,49115000,48663600,48240900,47823100,47442100,47100500,46749200,46465700,46192300,45963400,45782600,45598200,45453300,45372700,45245900,42759700,42590900,42414900,42216800,43993638,43733762,603500
United Arab Emirates,1019510,1088840,1158170,1227500,1296830,1366170,1458620,1551070,1643530,1735980,1828440,1945770,2063100,2180430,2297770,2415100,2558890,2702690,2846480,2990270,3134070,3424900,3715730,4006560,4297390,4588220,5380580,6172930,6965290,7757640,8550000,8692580,8835160,8977740,9120320,9262900,9388400,9513900,37206500,9770529,9890402,83600
United Kingdom,56329630,56343680,56299880,56331880,56430380,56569320,56698380,56817500,56939180,57097120,57265620,57453820,57600050,57733700,57883320,58040880,58183430,58334800,58504120,58708820,58915950,59146230,59401020,59678730,60017270,60461680,60893380,61382930,61874380,62327270,62827230,63330950,63753930,64173020,64662480,65178820,65687880,66089750,37206500,67530172,67886011,242900
United Republic of Tanzania,56329630,56343680,56299880,56331880,56430380,56569320,56698380,56817500,56939180,57097120,57265620,57453820,57600050,57733700,57883320,58040880,58183430,58334800,58504120,58708820,58915950,59146230,59401020,59678730,60017270,60461680,60893380,61382930,61874380,62327270,62827230,63330950,63753930,64173020,64662480,65178820,65687880,66089750,66475630,58005463,59734218,945087
United States of America,2.27E+08,2.29E+08,2.32E+08,2.34E+08,2.36E+08,2.38E+08,2.40E+08,2.42E+08,2.44E+08,2.47E+08,2.50E+08,2.53E+08,2.56E+08,2.60E+08,2.63E+08,2.66E+08,2.69E+08,2.73E+08,2.76E+08,2.79E+08,2.82E+08,2.85E+08,2.88E+08,2.90E+08,2.93E+08,2.95E+08,2.98E+08,3.01E+08,3.04E+08,3.07E+08,3.09E+08,3.12E+08,3.14E+08,3.16E+08,3.18E+08,3.21E+08,3.23E+08,3.25E+08,3.27E+08,3.29E+08,3.31E+08,9372610
Uruguay,2915390,2934620,2953850,2973050,2992250,3011520,3030650,3049580,3068710,3088600,3109600,3131660,3154460,3177730,3201150,3224270,3247380,3270160,3291050,3308000,3319730,3325470,3326050,3323660,3321490,3321800,3325400,3331750,3340220,3349680,3359270,3368930,3378980,3389440,3400440,3412010,3424140,3436650,3449010,3461734,3473730,181034
Uzbekistan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21375100,21862000,22336200,22791000,23225300,23640500,24036000,24412100,24770000,25108600,25431100,25749100,26077600,26427800,26804100,27204700,27627000,28065500,28515900,28977000,29449400,29932600,30426400,30929600,31441800,31959800,37207500,32981716,33469203,447400
Vanuatu,115597,118474,121352,124229,127107,129984,133302,136620,139937,143255,146573,150890,155207,159524,163841,168158,171521,174884,178246,181609,184972,189834,194696,199558,204420,209282,214668,220054,225439,230825,236211,243195,250179,257162,264146,271130,278333,285536,37207500,299882,307145,12189
Venezuela,15182600,15597880,16017580,16443120,16876700,17319550,17772000,18232720,18698850,19166470,19632680,20096300,20557720,21016930,21474530,21931070,22385650,22837720,23288570,23739820,24192450,24646450,25100400,25551620,25996600,26432450,26850150,27247600,27635820,28031000,28439930,28887850,29360820,29781080,30043000,30081820,29851250,29402480,28887130,28515829,28435940,916445
Vietnam,54281800,55522800,56814300,58148400,59512600,60896700,62293900,63702000,65120400,66550200,67988900,69437000,70883500,72300300,73651200,74910500,76068700,77133200,78115700,79035900,79910400,80742500,81534400,82301600,83062800,83832700,84617500,85419600,86243400,87092200,87967700,88871400,89801900,90752600,91713900,92677100,93640400,94600600,95513300,96462106,97338579,331212
West Bank,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.00E+09,3284787,5640
Western Sahara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,582463,597339,266000
Yemen,7941900,8231910,8541610,8869360,9213080,9572170,9941100,10322000,10730900,11189200,11710000,12302100,12954200,13634100,14297600,14913300,15469300,15975700,16450300,16921200,17409100,17918400,18443700,18985000,19540100,20107400,20687700,21282500,21892200,22516500,23154800,23807600,24473200,25147100,25823500,26497900,27168200,27834800,37208500,29161922,29825964,527968
Zambia,5851820,6055360,6265870,6481910,6701550,6923150,7146960,7372830,7598270,7820200,8036850,8246660,8451350,8656480,8869750,9096610,9339740,9597610,9866470,10140600,10415900,10692200,10971700,11256700,11550600,11856200,12173500,12503000,12848500,13215100,13606000,14023200,14465200,14926500,15399800,15879400,16363500,16853600,17363700,17861030,18383955,752612
Zimbabwe,7408630,7675580,7958240,8254750,8562260,8877490,9200150,9527200,9849130,10153800,10432400,10681000,10900500,11092800,11261800,11410700,11541200,11653200,11747100,11822700,11881500,11923900,11954300,11982200,12019900,12076700,12155500,12255900,12379500,12527000,12697700,12894300,13115200,13350400,13586700,13814600,14030300,14236600,14445400,14645468,14862924,390757
