Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Area
Central African Republic,2199360,2264440,2335330,2408320,2478380,2542170,2597760,2646840,2693970,2745730,2806730,2878510,2959240,3046150,3135010,3222660,3308230,3392440,3475490,3558010,3640430,3722020,3802130,3881180,3959880,4038380,4118070,4198010,4273370,4337620,4386770,4418640,4436420,4447940,4464170,4493170,4537690,4596020,4673940,4745185,4829767,622984
Chad,4514430,4630620,4746820,4863010,4979210,5095400,5268970,5442540,5616110,5789680,5963250,6172630,6382010,6591390,6800770,7010150,7279250,7548350,7817450,8086550,8355650,8703850,9052050,9400240,9748440,10096600,10467700,10838800,11209900,11581000,11952100,12383900,12815700,13247400,13679200,14111000,14574000,15036900,15499900,15946876,16425864,1284000
Chile,11439880,11603600,11765500,11929670,12100280,12280980,12472650,12672670,12878920,13089030,13301800,13520700,13746120,13972550,14194320,14406430,14609200,14805780,14996880,15183080,15364380,15538570,15705880,15870080,16035150,16204370,16377570,16552600,16729000,16906620,17084550,17259970,17433780,17610930,17796300,17997850,18232450,18492900,37179500,18952038,19116201,756102
China,1.00E+09,1.02E+09,1.03E+09,1.05E+09,1.06E+09,1.08E+09,1.10E+09,1.12E+09,1.14E+09,1.16E+09,1.18E+09,1.19E+09,1.21E+09,1.22E+09,1.23E+09,1.24E+09,1.25E+09,1.26E+09,1.27E+09,1.28E+09,1.29E+09,1.30E+09,1.31E+09,1.32E+09,1.32E+09,1.33E+09,1.34E+09,1.35E+09,1.35E+09,1.36E+09,1.37E+09,1.38E+09,1.39E+09,1.39E+09,1.40E+09,1.41E+09,1.41E+09,1.42E+09,37179500,1.43E+09,1.44E+09,9706961
Colombia,26900500,27496600,28101800,28714200,29331200,29951200,30572500,31195400,31822500,32457500,33102600,33758300,34422600,35091300,35759000,36421400,37076400,37723800,38364300,38999500,39630000,40256000,40875400,41483900,42075900,42647700,43200900,43737500,44255000,44750100,45222700,45662800,46075700,46495500,46967700,47520700,48175100,48909800,49567500,50339443,50882891,1141748
Costa Rica,2389970,2455590,2523360,2593010,2664220,2736720,2810250,2884860,2960930,3039010,3119440,3202080,3286520,3372300,3458830,3545520,3632360,3718950,3803890,3885430,3962370,4034070,4100920,4164050,4225160,4285500,4345420,4404630,4463120,4520740,4577370,4633090,4688000,4742110,4795390,4847810,4899340,4949960,4998010,5047561,5094118,51100
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4570805,4611635,4653740,4610315,4551080,4535393,4530968,4508882,4371280,4301710,4305425,4305600,4308935,4311877,4313140,4312555,4310610,4305453,4294728,4281185,4267330,4252560,4233377,4203660,4167885,4123760,4087215,4130304,4105267,56594
Cuba,9849460,9898890,9940310,9981300,10031700,10097900,10183900,10286600,10397500,10504000,10597000,10673500,10736400,10789300,10838500,10888200,10939300,10989700,11038700,11084700,11126400,11164700,11199700,11229200,11250400,11261600,11261200,11251100,11237000,11226700,11225800,11236700,11257100,11282700,11306900,11324800,11335100,11339200,37180500,11333483,11326616,109884
Cyprus,512300,522845,524623,531518,538397,544605,550888,556584,562693,572655,587141,603069,619231,632944,645399,656333,666313,675215,682862,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236,37180500,1198575,1207359,9251
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10330900,10333500,10325750,10313700,10302850,10293200,10282430,10249300,10212750,10195850,10194330,10197550,10214300,10242730,10309950,10394900,10448470,10477480,10498450,10512120,10513800,10528580,10548030,10569450,10598300,10634900,10689209,10708981,78865
Democratic Republic of the Congo,8033650,8393690,8764990,9144940,9530100,9918200,10307300,10698200,11094700,11502500,11924900,12362400,12812400,13271600,13735400,14199800,14665100,15130700,15589400,16032600,16454700,16853000,17231500,17599600,17970500,18354500,18754900,19171200,19605600,20059200,20532900,21028700,21547200,22087500,22647700,23226200,23822700,24437500,25084400,5380508,5518087,342000
Denmark,5123270,5120965,5117473,5113755,5111492,5114335,5121595,5127580,5129583,5133297,5142320,5156255,5173680,5190630,5208565,5237785,5266085,5287458,5306560,5323855,5342015,5361175,5377825,5392340,5406240,5421438,5439725,5465024,5498080,5526007,5550918,5573058,5594335,5618005,5647535,5689425,5733200,5769030,5796748,5771876,5792202,43094
Djibouti,358960,372290,385619,398949,412278,425608,458565,491522,524479,557436,590393,598391,606390,614388,622387,630385,647823,665262,682700,700139,717577,730711,743845,756980,770114,783248,794637,806026,817416,828805,840194,854955,869716,884476,899237,913998,928799,943600,37181500,973560,988000,23200
Dominican Republic,5803930,5935900,6067770,6199660,6331760,6464230,6596970,6729930,6863440,6997880,7133490,7270410,7408340,7546470,7683710,7819240,7952770,8084410,8214430,8343290,8471320,8598600,8724970,8850320,8974440,9097260,9218680,9338860,9458080,9576740,9695120,9813220,9930920,10048200,10165200,10281700,10397700,10513100,37181500,10738958,10847910,48671
