Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1438774.69,1506907.50,1667231.54,1774692.30,2062692.66,2551964.35,2989223.90,3554841.17,4416653.32,3905714.34,4902523.73,6143333.19,7466708.04,8231539.70,9702422.21,10668923.43,12371008.44,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1078532.61,1204333.70,1496454.53,1495135.42,1315739.39,1483629.58,1848351.26,1868039.10,2163400.37,2406302.52,2800069.29,3149361.25,3265622.49,4137863.42,3788598.51,5133282.80,5074397.81,6515067.54,6657200.20,7561138.52,6036814.82,4898887.03,10368581.74,#N/A,#N/A,#N/A
Canada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,113908351.00,116508713.00,118093692.90,122440171.50,131331088.40,148185448.40,164370972.70,170605559.80,197010898.90,201372549.10,215554883.60,240088243.70,221623728.70,222440059.10,240376249.50,273873699.60,314444419.00,350257149.90,380646622.00,408762167.60,321227567.70,392108702.50,450579509.10,462366181.40,461785073.50,463088976.80,419374729.40,402287821.90,432405190.70,#N/A,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,143520.43,154160.29,265497.57,179940.58,106862.25,117097.78,95346.42,71044.85,67981.92,59974.62,100377.32,179151.50,185285.91,140441.57,197763.98,185016.28,211713.56,209945.57,214703.27,217528.64,129726.50,308030.08,456596.90,401319.71,418721.34,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,215168.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7022278.66,7452625.41,9455495.17,10541861.89,11149066.24,14903049.22,16809973.76,18110803.97,17082405.89,13891477.55,16619725.99,16136155.35,15383398.15,19245178.15,24714537.86,32926774.85,58829357.10,47596989.54,62793573.80,42844129.28,59007357.61,74848006.65,80085756.91,79347345.89,72849513.58,62386716.96,59352044.17,65257275.66,#N/A,#N/A,#N/A
China,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80585302.02,103958937.60,115613605.90,132083499.00,138832740.40,142370324.50,140236767.20,165699066.60,225093731.00,243552880.60,295170104.10,412759796.40,561228748.00,659952762.10,791460867.90,956115447.60,1132562161.00,1005555225.00,1396001565.00,1743394866.00,1818199228.00,1949992315.00,1959234625.00,1679564325.00,1587920688.00,1843792939.00,#N/A,#N/A,#N/A
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4966978.05,6683928.06,9829160.96,11934947.33,13883488.26,13680470.02,15378803.71,14677125.12,10659186.69,11757001.45,12820352.19,12689965.01,13880612.94,17099536.99,21204162.07,26162439.96,32897045.33,39668840.25,32897671.47,40682507.65,54674822.11,58087854.46,59381196.54,64027609.81,54035533.65,44831142.87,46050188.81,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3024326.40,3205464.83,3560994.56,4510893.57,6237100.03,5986504.62,6028858.25,6272271.37,6894261.96,7388170.42,8003129.24,9173270.27,11070461.48,12757849.00,15289400.23,11550460.95,13920243.83,18263804.97,18355992.79,18124469.25,17184912.68,15504422.76,15321512.29,16352350.36,#N/A,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4460712.96,4666346.50,5229113.86,7509185.02,7787760.13,9122318.34,8383010.30,7777378.56,7886511.62,9147129.93,10722045.13,14209034.61,16589172.48,18560366.87,21502493.97,25829460.93,30726986.74,21204851.21,20067004.56,22714694.00,20834262.29,21931993.51,22906873.37,20580470.84,21829864.97,24512646.92,#N/A,#N/A,#N/A
