Country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Canada,#N/A,11.3908351,11.6508713,11.80936929,12.24401715,13.13310884,14.81854484,16.43709727,17.06055598,19.70108989,20.13725491,21.55548836,24.00882437,22.16237287,22.24400591,24.03762495,27.38736996,31.4444419,35.02571499,38.0646622,40.87621676,32.12275677,39.21087025,45.05795091,46.23661814,46.17850735,46.30889768,41.93747294,40.22878219,43.24051907,#N/A,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,0.014352043,0.015416029,0.026549757,0.017994058,0.010686225,0.011709778,0.009534642,0.007104485,0.006798192,0.005997462,0.010037732,0.01791515,0.018528591,0.014044157,0.019776398,0.018501628,0.021171356,0.020994557,0.021470327,0.021752864,0.01297265,0.030803008,0.04565969,0.040131971,0.041872134,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.021516827,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chile,#N/A,#N/A,0.702227866,0.745262541,0.945549517,1.054186189,1.114906624,1.490304922,1.680997376,1.811080397,1.708240589,1.389147755,1.661972599,1.613615535,1.538339815,1.924517815,2.471453786,3.292677485,5.88293571,4.759698954,6.27935738,4.284412928,5.900735761,7.484800665,8.008575691,7.934734589,7.284951358,6.238671696,5.935204417,6.525727566,#N/A,#N/A,#N/A
China,#N/A,#N/A,#N/A,#N/A,8.058530202,10.39589376,11.56136059,13.2083499,13.88327404,14.23703245,14.02367672,16.56990666,22.5093731,24.35528806,29.51701041,41.27597964,56.1228748,65.99527621,79.14608679,95.61154476,113.2562161,100.5555225,139.6001565,174.3394866,181.8199228,194.9992315,195.9234625,167.9564325,158.7920688,184.3792939,#N/A,#N/A,#N/A
Colombia,#N/A,#N/A,#N/A,0.496697805,0.668392806,0.982916096,1.193494733,1.388348826,1.368047002,1.537880371,1.467712512,1.065918669,1.175700145,1.282035219,1.268996501,1.388061294,1.709953699,2.120416207,2.616243996,3.289704533,3.966884025,3.289767147,4.068250765,5.467482211,5.808785446,5.938119654,6.402760981,5.403553365,4.483114287,4.605018881,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.30243264,0.320546483,0.356099456,0.451089357,0.623710003,0.598650462,0.602885825,0.627227137,0.689426196,0.738817042,0.800312924,0.917327027,1.107046148,1.2757849,1.528940023,1.155046095,1.392024383,1.826380497,1.835599279,1.812446925,1.718491268,1.550442276,1.532151229,1.635235036,#N/A,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,0.446071296,0.46663465,0.522911386,0.750918502,0.778776013,0.912231834,0.83830103,0.777737856,0.788651162,0.914712993,1.072204513,1.420903461,1.658917248,1.856036687,2.150249397,2.582946093,3.072698674,2.120485121,2.006700456,2.2714694,2.083426229,2.193199351,2.290687337,2.058047084,2.182986497,2.451264692,#N/A,#N/A,#N/A
Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.43912418,0.484326121,0.484578188,0.417654845,0.466195448,0.560956109,0.80843363,1.017359146,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,#N/A,0.22803031,0.256359347,0.262028262,0.330040883,0.253592986,0.301405082,0.36937664,0.398186752,0.369805645,0.368627661,0.361794714,0.384631679,0.392468323,0.408330254,0.446642946,0.573042075,0.638210609,0.704569886,0.874890663,1.084901902,0.793339712,0.864472199,0.878855785,0.73769335,0.641821573,0.805639632,0.713283148,0.786736748,0.930816213,#N/A,#N/A,#N/A
