Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Burundi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,158262.896,171596.704,178939.376,81775.776,68744.928,86495.76,62412.896,42854.751,42155.84,26559.876,65903.214,82724.709,113755.962,228522.401,156195.39,141785.754,112931.709,118156.4615,197835.657,242699.757,205748.813,141500.677,113790.703,123055.817,149406.4375,#N/A,#N/A,#N/A
Cambodia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1389454.739,1499274.357,1922991.495,2118223.935,2797507.087,3018613.014,3566412.909,3531236.905,4358188.285,4992009.584,5590104.093,6704136.957,5796273.596,6665903.101,6846019.309,8542433.639,10069331.58,#N/A,#N/A,#N/A,#N/A
Cameroon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1538718.208,1757868.032,1859308.416,#N/A,#N/A,1822623.715,1744966.784,1809263.791,2282560.206,2476762.499,2848654.871,3576419.991,4230114.715,2126727.612,1732408.223,3878432.844,2147386.038,4274981.263,4520921.971,5159519.529,4052643.29,2130449.501,6527310.838,#N/A,#N/A,#N/A
Canada,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,115978240,126899388.4,126783856.6,134462136.3,144631644.2,166254542.8,191117738,202262544.4,216037343.2,214606348.3,238778007.6,277419920.5,261058774.9,252584259.6,272229685.9,317161191.6,360552446.3,388178675.7,419881603.9,455632184.2,315176831.4,386579899.7,450430007.6,454098967.5,456598271,475177176.3,408697323.6,388853141.9,420631850.4,#N/A,#N/A,#N/A
Central African Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91689.168,81451.128,119521.44,115127.528,98583.168,106264.048,110049.48,80096.695,74406.87,56875.137,65497.391,106609.176,110732.404,109836.719,131086.67,114200.54,80531.817,89815.644,103936.772,114177.981,48510.006,20701.225,96853.681,88451.252,196990.9372,#N/A,#N/A,#N/A
Chad,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,91689.168,81451.128,119521.44,115127.528,98583.168,106264.048,110049.48,80096.695,74406.87,56875.137,65497.391,106609.176,110732.404,109836.719,131086.67,114200.54,80531.817,89815.644,103936.772,114177.981,48510.006,20701.225,96853.681,88451.252,196990.9372,#N/A,#N/A,#N/A
Chile,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8522023.936,8960062.464,9913288.704,9308256.256,11368678.4,15901136.9,15406822.4,16678189.06,14841618.43,15619179.06,18214503.76,18745414.51,17423088.18,21650905.65,33025406.98,41972988.44,60596327.59,68560429.27,64507601.39,55458960.01,71106105.85,81437589.33,78062994.76,76769729.41,75083496.95,62033060.41,60717528.24,68858401.6,#N/A,#N/A,#N/A
China,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,84940013.57,91743944.7,121006260.2,148779499.5,151047454.7,182791585.8,183808983,194930778.5,249202551,266098208.6,325595969.8,438227767.4,593325581.4,761953409.5,968935601,1220059668,1430693066,1201646758,1577763751,1898388435,2048782233,2209007280,2342292696,2273468224,2097637172,2263370504,#N/A,#N/A,#N/A
Colombia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7268634.624,6916042.752,7123438.592,8537516.544,10201048.06,10647555.07,11549019.14,10821222.4,11617030.14,13158400.85,12301486.49,11897488.38,13092218.07,16729677.71,21190438.74,24390975.1,29991332,37625882.07,32852985.84,39819528.64,56953516.09,60273618.17,58821869.99,54794812.02,35690766.59,31044991.24,37766321.06,#N/A,#N/A,#N/A
Costa Rica,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2220437.248,2701754.624,2779789.824,3892947.968,5151279.104,6283076.111,5486878.368,4715789.488,4950400.241,5800403.559,5952582.116,7150688.305,7254865.615,8927618.673,9744538.493,8836344.677,9044840.676,10222241.03,11250803.89,11472063.52,11242661.05,9578337.782,9907873.818,11296640.43,#N/A,#N/A,#N/A
Croatia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4597484.032,3903808.256,4260363.776,4632655.872,4511729.152,4340856.32,4541103.616,4279690.427,4431597.348,4665908.208,4903584.487,6186630.195,8024156.751,8772552.653,10376964.37,12360221.56,14123674.79,10491835.5,11810676.24,13364022.44,12368983.41,12741618.49,13843899.84,12843529.32,13647534.06,15732485.22,#N/A,#N/A,#N/A
Cuba,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1495833.377,1676061.811,1664828.512,1421666.315,1676913.024,2332101.252,2318592.231,2980151.743,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,793037.824,949220.608,951804.544,1005167.296,867296.128,961219.072,1230544.256,1390613.376,1250107.776,1061851.2,997005.504,980554.638,997160.97,837007.019,923135.055,1171483.862,1546373.415,1414865.802,1486412.281,1713315.359,1350948.81,1506457.953,1954770.383,1826017.361,2134405.446,3270257.586,3367019.568,2997208.894,3360377.37,#N/A,#N/A,#N/A
Czech Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12892198.91,14081443.84,21685565.44,21907320.83,22746343.42,28305768.45,26842601.54,29052866.79,33384210.37,44263575.82,48720350.33,65771586.9,78208547.53,95140986.34,120900492.2,146087028.7,112884321.3,132140913.8,162391721.2,156422742.6,161524152.1,174279451.7,157194122.6,162087332.2,182231360.5,#N/A,#N/A,#N/A
Democratic Republic of the Congo,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12892198.91,14081443.84,21685565.44,21907320.83,22746343.42,28305768.45,26842601.54,29052866.79,33384210.37,44263575.82,48720350.33,65771586.9,78208547.53,95140986.34,120900492.2,146087028.7,112884321.3,132140913.8,162391721.2,156422742.6,161524152.1,174279451.7,157194122.6,162087332.2,182231360.5,#N/A,#N/A,#N/A
Denmark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28046196.74,34842796.03,35713056.77,39553110.02,37170991.1,41602367.49,48789127.17,48884543.49,48800432.13,47709990.91,49027809.02,49102286.75,50973842.38,55673560.17,64614226.3,74740558.45,82278145.32,90638722.24,101616124.4,115876232.8,92090687.34,96216730.27,112713338.9,106104022.2,110469532.4,110748921.3,94618816.68,94729013.06,101434430.9,#N/A,#N/A,#N/A
Djibouti,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,363708.835,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dominican Republic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,814348.992,5229321.737,5496363.668,5938370.49,6183383.171,6079883.885,6793733.72,6421633.807,4374407.643,4766733.677,6112524.2,7168472.222,7960984.484,9927795.974,8384108.4,8744920.007,8855644.902,#N/A,#N/A,#N/A
East Timor,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,105654.155,43450.997,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53136.023,#N/A,#N/A,#N/A,24174.26276,#N/A,#N/A,#N/A
Ecuador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2851399.168,3042286.848,3019999.232,3843350.016,4361497.088,4889830.912,5214140.416,4203045.888,4451080.724,4821869.284,4647491.551,5029750.862,6038498.705,7606121.136,9869356.995,12727796.06,13800363.53,18818325.45,13863049.88,17489921.74,22342523.91,23852016.74,24957644.41,25724432.49,18330607.69,16797664.62,19122455.1,#N/A,#N/A,#N/A
Egypt,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2851399.168,3042286.848,3019999.232,3843350.016,4361497.088,4889830.912,5214140.416,4203045.888,4451080.724,4821869.284,4647491.551,5029750.862,6038498.705,7606121.136,9869356.995,12727796.06,13800363.53,18818325.45,13863049.88,17489921.74,22342523.91,23852016.74,24957644.41,25724432.49,18330607.69,16797664.62,19122455.1,#N/A,#N/A,#N/A
El Salvador,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,821796.992,985199.36,1024263.68,1353900.8,1257067.008,1164156.461,2941306.058,2863774.313,2995069.168,3128002.533,3304580.928,3436475.784,3729992.948,4014538.645,4641070.493,3866080.098,4499243.252,5308179.072,5339088.393,5519300.084,5301.280526,5509047.69,5420132.897,5760015.207,#N/A,#N/A,#N/A
Equatorial Guinea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,821796.992,985199.36,1024263.68,1353900.8,1257067.008,1164156.461,2941306.058,2863774.313,2995069.168,3128002.533,3304580.928,3436475.784,3729992.948,4014538.645,4641070.493,3866080.098,4499243.252,5308179.072,5339088.393,5519300.084,5301.280526,5509047.69,5420132.897,5760015.207,#N/A,#N/A,#N/A
Eritrea,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6618.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1840378.24,2077993.472,2935698.944,3244834.048,3017194.127,3829703.514,3996831.79,4341041.344,5629181.51,6530529.159,8247444.129,10039366.95,11739446.69,13703857.64,10445840.39,12811364.48,18139131.43,18161223.71,18284136.37,17465559.81,13907609.95,13967429.43,15387735.46,#N/A,#N/A,#N/A
Ethiopia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1840378.24,2077993.472,2935698.944,3244834.048,3017194.127,3829703.514,3996831.79,4341041.344,5629181.51,6530529.159,8247444.129,10039366.95,11739446.69,13703857.64,10445840.39,12811364.48,18139131.43,18161223.71,18284136.37,17465559.81,13907609.95,13967429.43,15387735.46,#N/A,#N/A,#N/A
Falkland Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,422306.496,383610.688,430419.552,477880.406,476729.053,521707.282,542029.275,599298.534,620097.024,601764.406,630967.18,746230.393,852090.544,761743.826,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fiji,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,465940.021,460582.117,522580.368,503139.384,552813.56,701701.255,678907.787,745733.491,921911.052,628674.985,841361.398,1069470.694,1220602.428,1107989.82,1373264.431,895159.986,925878.395,955613.4956,#N/A,#N/A,#N/A
Finland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21662210.05,23270098.94,26649989.12,23017195.52,23952158.72,23473397.76,29761130.5,40408522.75,40561508.35,40980000.77,43210153.98,41765477.9,45474931.21,44300007.65,44517737.83,52509302.88,60918355.3,65238316.35,77279102.96,89798884.88,96896070.52,62860482.54,70116501.48,78794218,72974489.14,74445385.64,74338833.53,59682311.21,57325871.72,67280640.85,#N/A,#N/A,#N/A
France,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,233307193.3,284045606.9,283901198.3,283345616.9,300571066.4,296025161.7,295345419.5,289599104.8,304891879.4,358131717.3,413708421.6,434354245.1,479012852,539730711.5,594504995,464112811,511651042.7,585723823.8,558460545.5,567987697.5,566656165.4,493941214.2,488885072.4,523385133.3,#N/A,#N/A,#N/A
French Guiana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,148860.192,158168.032,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
French Southern and Antarctic Lands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,251155.12,221642.624,252081.76,248894.452,222528.632,175563.339,166790.524,149899.561,185312.113,210286.56,186315.623,167046.65,206680.941,148270.991,153190.887,149817.861,139032.342,151488.051,170097.225,130193.767,#N/A,#N/A,#N/A,#N/A,#N/A
Gabon,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2637019.136,2391037.952,#N/A,3145602.816,2631111.668,2602773.532,2072117.903,2601484.084,2520872.259,2411129.826,2826852.075,2776202.033,5068411.758,6015409.905,6302024.82,9565944.258,5355977.813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gambia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2637019.136,2391037.952,#N/A,3145602.816,2631111.668,2602773.532,2072117.903,2601484.084,2520872.259,2411129.826,2826852.075,2776202.033,5068411.758,6015409.905,6302024.82,9565944.258,5355977.813,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
